"Id";"label";"Type"
109;"29/09/1911 (KINGSBENCH)";"evenement"
11;"14/02/1907 (WM)";"evenement"
187;"21/12/1912 (LAMBETH)";"evenement"
190;"08/01/1913 (CCC)";"evenement"
278;"28/07/1913 (BROMLEY)";"evenement"
287;"09/08/1913 (BS)";"evenement"
3;"04/07/1906 (MARYLE)";"evenement"
146;"09/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
305;"15/11/1913 (CCC)";"evenement"
60;"28/08/1909 (LIVERPOOL)";"evenement"
356;"23/05/1914 (BS)";"evenement"
367;"03/06/1914 (CANARVON)";"evenement"
20;"31/01/1908 (WM)";"evenement"
31;"01/02/1909 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
20;"31/01/1908 (WM)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
20;"31/01/1908 (WM)";"evenement"
118;"27/11/1911 (BS)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
25;"01/07/1908 (BS)";"evenement"
278;"28/07/1913 (BROMLEY)";"evenement"
302;"29/10/1913 (WM)";"evenement"
354;"22/05/1914 (MARYLE)";"evenement"
360;"26/05/1914 (BS)";"evenement"
319;"11/02/1914 (BS)";"evenement"
332;"12/03/1914 (LS)";"evenement"
118;"27/11/1911 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
79;"04/12/1909 (PRESTON)";"evenement"
257;"16/06/1913 (BS)";"evenement"
60;"28/08/1909 (LIVERPOOL)";"evenement"
36;"26/02/1909 (BS)";"evenement"
97;"24/11/1910 (BS)";"evenement"
146;"09/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
146;"09/03/1912 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
351;"22/05/1914 (BS)";"evenement"
360;"26/05/1914 (BS)";"evenement"
34;"19/02/1909 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
147;"11/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
201;"08/02/1913 (MARLBORO)";"evenement"
240;"24/04/1913 (BS)";"evenement"
3;"04/07/1906 (MARYLE)";"evenement"
60;"28/08/1909 (LIVERPOOL)";"evenement"
130;"22/02/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
117;"24/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
140;"05/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
118;"27/11/1911 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
10;"14/02/1907 (BS)";"evenement"
33;"18/02/1909 (WM)";"evenement"
177;"14/10/1912 (HERTS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
117;"24/11/1911 (BS)";"evenement"
148;"12/03/1912 (BS)";"evenement"
337;"26/03/1914 (BS)";"evenement"
41;"09/07/1909 (BS)";"evenement"
133;"04/03/1912 (WLDN)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
10;"14/02/1907 (BS)";"evenement"
7;"13/12/1906 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
97;"24/11/1910 (BS)";"evenement"
117;"24/11/1911 (BS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
118;"27/11/1911 (BS)";"evenement"
29;"26/10/1908 (MARLBORO)";"evenement"
112;"19/11/1911 (BS)";"evenement"
93;"19/02/1910 (BS)";"evenement"
140;"05/03/1912 (WM)";"evenement"
155;"19/03/1912 (LS)";"evenement"
20;"31/01/1908 (WM)";"evenement"
64;"07/09/1909/ (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
134;"04/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
354;"22/05/1914 (MARYLE)";"evenement"
360;"26/05/1914 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
35;"25/02/1909 (BS)";"evenement"
196;"04/02/1913 (BS)";"evenement"
198;"04/02/1913 (MARLBORO)";"evenement"
290;"15/09/1913 (BS)";"evenement"
311;"28/11/1913 (LEEDS)";"evenement"
146;"09/03/1912 (BS)";"evenement"
155;"19/03/1912 (LS)";"evenement"
117;"24/11/1911 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
187;"21/12/1912 (LAMBETH)";"evenement"
190;"08/01/1913 (CCC)";"evenement"
312;"10/12/1913 (OLDST)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
32;"12/02/1909 (BS)";"evenement"
35;"25/02/1909 (BS)";"evenement"
20;"31/01/1908 (WM)";"evenement"
34;"19/02/1909 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
64;"07/09/1909/ (BS)";"evenement"
88;"17/12/1909 (CREWE)";"evenement"
117;"24/11/1911 (BS)";"evenement"
96;"22/11/1910 (BS)";"evenement"
11;"14/02/1907 (WM)";"evenement"
40;"02/07/1909 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
40;"02/07/1909 (BS)";"evenement"
274;"18/07/1913 (MANSIONHOUSE)";"evenement"
277;"25/07/1913 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
59;"21/08/1909 (GLASGOW)";"evenement"
62;"04/09/1909 (MANC)";"evenement"
96;"22/11/1910 (BS)";"evenement"
20;"31/01/1908 (WM)";"evenement"
78;"26/11/1909 (BIRMINGHAM)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
147;"11/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
116;"23/11/1911 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
10;"14/02/1907 (BS)";"evenement"
29;"26/10/1908 (MARLBORO)";"evenement"
113;"21/11/1911 (BS)";"evenement"
97;"24/11/1910 (BS)";"evenement"
318;"28/01/1914 (BS)";"evenement"
339;"30/03/1914 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
156;"26/03/1912 (LS)";"evenement"
117;"24/11/1911 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
11;"14/02/1907 (WM)";"evenement"
33;"18/02/1909 (WM)";"evenement"
119;"28/11/1911 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
196;"04/02/1913 (BS)";"evenement"
198;"04/02/1913 (MARLBORO)";"evenement"
20;"31/01/1908 (WM)";"evenement"
33;"18/02/1909 (WM)";"evenement"
21;"12/02/1908 (WM)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
133;"04/03/1912 (WLDN)";"evenement"
156;"26/03/1912 (LS)";"evenement"
178;"17/10/1912 (OXFORD)";"evenement"
180;"06/11/1912 (BS)";"evenement"
118;"27/11/1911 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
205;"18/02/1913 (MARLBORO)";"evenement"
246;"05/05/1913 (MARYLE)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
97;"24/11/1910 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
117;"24/11/1911 (BS)";"evenement"
321;"16/02/1914 (HAMPSTEAD)";"evenement"
26;"01/07/1908 (WM)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
96;"22/11/1910 (BS)";"evenement"
43;"14/07/1909 (BLACKBURN)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
20;"31/01/1908 (WM)";"evenement"
29;"26/10/1908 (MARLBORO)";"evenement"
228;"04/04/1913 (CCC)";"evenement"
238;"22/04/1913 (NLDN)";"evenement"
115;"22/11/1911 (MANSIONHOUSE)";"evenement"
40;"02/07/1909 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
66;"21/09/1909 (BIRMINGHAM)";"evenement"
10;"14/02/1907 (BS)";"evenement"
11;"14/02/1907 (WM)";"evenement"
137;"05/03/1912 (MARLBORO)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
133;"04/03/1912 (WLDN)";"evenement"
40;"02/07/1909 (BS)";"evenement"
119;"28/11/1911 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
11;"14/02/1907 (WM)";"evenement"
5;"18/11/1906 (WM)";"evenement"
10;"14/02/1907 (BS)";"evenement"
7;"13/12/1906 (BS)";"evenement"
17;"30/01/1908 (MARYLE)";"evenement"
246;"05/05/1913 (MARYLE)";"evenement"
133;"04/03/1912 (WLDN)";"evenement"
40;"02/07/1909 (BS)";"evenement"
222;"17/03/1913 (BS)";"evenement"
275;"21/07/1913 (BROMLEY)";"evenement"
113;"21/11/1911 (BS)";"evenement"
36;"26/02/1909 (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
137;"05/03/1912 (MARLBORO)";"evenement"
192;"28/01/1913 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
296;"10/10/1913 (FELTHAM)";"evenement"
327;"28/02/1914 (OLDST)";"evenement"
146;"09/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
270;"12/07/1913 (BS)";"evenement"
350;"15/05/1914 (WM)";"evenement"
133;"04/03/1912 (WLDN)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
3;"04/07/1906 (MARYLE)";"evenement"
58;"20/08/1909 (LIVERPOOL)";"evenement"
10;"14/02/1907 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
135;"05/03/1912 (BS)";"evenement"
96;"22/11/1910 (BS)";"evenement"
118;"27/11/1911 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
150;"13/03/1912 (LS)";"evenement"
160;"23/04/1912 (LS)";"evenement"
25;"01/07/1908 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
248;"21/05/1913 (LEEDS)";"evenement"
297;"14/10/1913 (BS)";"evenement"
119;"28/11/1911 (BS)";"evenement"
136;"05/03/1912 (MANSIONHOUSE)";"evenement"
57;"20/08/1909 (BS)";"evenement"
89;"21/12/1909 (LIVERPOOL)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
36;"26/02/1909 (BS)";"evenement"
57;"20/08/1909 (BS)";"evenement"
197;"04/02/1913 (CCC)";"evenement"
293;"03/10/1913 (BRADFORD)";"evenement"
113;"21/11/1911 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
10;"14/02/1907 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
199;"05/02/1913 (CCC)";"evenement"
192;"28/01/1913 (BS)";"evenement"
199;"05/02/1913 (CCC)";"evenement"
10;"14/02/1907 (BS)";"evenement"
33;"18/02/1909 (WM)";"evenement"
26;"01/07/1908 (WM)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
117;"24/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
117;"24/11/1911 (BS)";"evenement"
276;"22/07/1913 (BIRMINGHAM)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
259;"19/06/1913 (DONCASTER)";"evenement"
364;"27/05/1914 (BURYSTEDMUNDS)";"evenement"
117;"24/11/1911 (BS)";"evenement"
140;"05/03/1912 (WM)";"evenement"
117;"24/11/1911 (BS)";"evenement"
147;"11/03/1912 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
40;"02/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
11;"14/02/1907 (WM)";"evenement"
119;"28/11/1911 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
8;"14/12/1906 (WM)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
10;"14/02/1907 (BS)";"evenement"
8;"14/12/1906 (WM)";"evenement"
326;"25/02/1914 (WM)";"evenement"
329;"10/03/1914 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
40;"02/07/1909 (BS)";"evenement"
350;"15/05/1914 (WM)";"evenement"
360;"26/05/1914 (BS)";"evenement"
41;"09/07/1909 (BS)";"evenement"
97;"24/11/1910 (BS)";"evenement"
33;"18/02/1909 (WM)";"evenement"
40;"02/07/1909 (BS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
119;"28/11/1911 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
273;"18/07/1913 (LIVERPOOL)";"evenement"
327;"28/02/1914 (OLDST)";"evenement"
130;"22/02/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
118;"27/11/1911 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
60;"28/08/1909 (LIVERPOOL)";"evenement"
97;"24/11/1910 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
20;"31/01/1908 (WM)";"evenement"
118;"27/11/1911 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
62;"04/09/1909 (MANC)";"evenement"
69;"09/10/1909 (NEWCASTLE)";"evenement"
318;"28/01/1914 (BS)";"evenement"
338;"27/03/1914 (BS)";"evenement"
343;"24/04/1914 (MARLBORO)";"evenement"
363;"27/05/1914 (BS)";"evenement"
32;"12/02/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
40;"02/07/1909 (BS)";"evenement"
288;"11/08/1913 (BS)";"evenement"
394;"05/08/1914 (SOMERSETASSIZES)";"evenement"
350;"15/05/1914 (WM)";"evenement"
360;"26/05/1914 (BS)";"evenement"
350;"15/05/1914 (WM)";"evenement"
360;"26/05/1914 (BS)";"evenement"
354;"22/05/1914 (MARYLE)";"evenement"
360;"26/05/1914 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
10;"14/02/1907 (BS)";"evenement"
11;"14/02/1907 (WM)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
205;"18/02/1913 (MARLBORO)";"evenement"
278;"28/07/1913 (BROMLEY)";"evenement"
278;"28/07/1913 (BROMLEY)";"evenement"
283;"29/07/1913 (NLDN)";"evenement"
134;"04/03/1912 (WM)";"evenement"
155;"19/03/1912 (LS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
134;"04/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
147;"11/03/1912 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
130;"22/02/1912 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
65;"18/09/1909 (BIRMINGHAM)";"evenement"
118;"27/11/1911 (BS)";"evenement"
128;"10/01/1912 (CCC)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
113;"21/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
306;"17/11/1913 (BS)";"evenement"
344;"29/04/1914 (FELIXSTONE)";"evenement"
34;"19/02/1909 (BS)";"evenement"
41;"09/07/1909 (BS)";"evenement"
73;"10/11/1909 (GUILDHALL)";"evenement"
26;"01/07/1908 (WM)";"evenement"
285;"30/07/1913 (LIVERPOOL)";"evenement"
346;"09/05/1914 (TOWERBRIDGE)";"evenement"
347;"12/05/1914 (MARLBORO)";"evenement"
173;"04/08/1912 (WLDN)";"evenement"
245;"05/05/1913 (BRISTOL)";"evenement"
268;"08/07/1913 (THAMES)";"evenement"
307;"17/11/1913 (GUILDHALL)";"evenement"
38;"01/04/1909 (BS)";"evenement"
42;"12/07/1909 (BS)";"evenement"
44;"16/07/1909 (BS)";"evenement"
45;"16/07/1909 (LEIGH)";"evenement"
47;"23/07/1909 (BS)";"evenement"
48;"26/07/1909 (NOTTINGHAM)";"evenement"
6;"20/11/1906 (WM)";"evenement"
64;"07/09/1909/ (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
318;"28/01/1914 (BS)";"evenement"
336;"24/03/1914 (BS)";"evenement"
387;"15/07/1914 (MARLBORO)";"evenement"
117;"24/11/1911 (BS)";"evenement"
147;"11/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
118;"27/11/1911 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
199;"05/02/1913 (CCC)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
158;"28/03/1912 (LS)";"evenement"
233;"10/04/1913 (MARLBORO)";"evenement"
237;"18/04/1913 (BS)";"evenement"
270;"12/07/1913 (BS)";"evenement"
280;"28/07/1913 (NLDN)";"evenement"
289;"19/08/1913 (BS)";"evenement"
384;"13/07/1914 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
11;"14/02/1907 (WM)";"evenement"
123;"12/12/1911 (LS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
16;"30/01/1908 (MARLBORO)";"evenement"
204;"18/02/1913 (LS)";"evenement"
275;"21/07/1913 (BROMLEY)";"evenement"
350;"15/05/1914 (WM)";"evenement"
119;"28/11/1911 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
156;"26/03/1912 (LS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
146;"09/03/1912 (BS)";"evenement"
155;"19/03/1912 (LS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
113;"21/11/1911 (BS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
137;"05/03/1912 (MARLBORO)";"evenement"
239;"23/04/1913 (MANC)";"evenement"
246;"05/05/1913 (MARYLE)";"evenement"
305;"15/11/1913 (CCC)";"evenement"
383;"12/07/1914 (BIRMINGHAM)";"evenement"
234;"10/04/1913 (NLDN)";"evenement"
316;"22/12/1913 (CHELTENHAM)";"evenement"
322;"18/02/1914 (CLERKENWELL)";"evenement"
134;"04/03/1912 (WM)";"evenement"
155;"19/03/1912 (LS)";"evenement"
201;"08/02/1913 (MARLBORO)";"evenement"
11;"14/02/1907 (WM)";"evenement"
131;"02/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
26;"01/07/1908 (WM)";"evenement"
116;"23/11/1911 (BS)";"evenement"
166;"28/06/1912 (SOUTHWESTERN)";"evenement"
57;"20/08/1909 (BS)";"evenement"
91;"15/01/1910 (LIVERPOOL)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
117;"24/11/1911 (BS)";"evenement"
228;"04/04/1913 (CCC)";"evenement"
238;"22/04/1913 (NLDN)";"evenement"
113;"21/11/1911 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
199;"05/02/1913 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
27;"14/10/1908 (BS)";"evenement"
41;"09/07/1909 (BS)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
118;"27/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
40;"02/07/1909 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
309;"24/11/1913 (BIRMINGHAM)";"evenement"
343;"24/04/1914 (MARLBORO)";"evenement"
363;"27/05/1914 (BS)";"evenement"
64;"07/09/1909/ (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
58;"20/08/1909 (LIVERPOOL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
40;"02/07/1909 (BS)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
64;"07/09/1909/ (BS)";"evenement"
77;"19/11/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
